斗鱼3,#genre#
杀死燕双鹰，活捉狄仁杰！_直播间,http://blanki.cf/api/douyu.php?id=3439096
&#10084;&#65039;杭州&#10084;&#65039;今天又是想你的一天_直播间,http://blanki.cf/api/douyu.php?id=4396972
经典、动作、惊悚、悬疑、连续剧_直播间,http://blanki.cf/api/douyu.php?id=1504768
【悬疑】古今中外犯罪录_直播间,http://blanki.cf/api/douyu.php?id=9171887
一个甜牛奶_直播间,http://blanki.cf/api/douyu.php?id=7494871
晓妞动漫花园o(∩_∩)o_直播间,http://blanki.cf/api/douyu.php?id=426517
【一口气看完整部动漫】死火海热门动漫解说_直播间,http://blanki.cf/api/douyu.php?id=9446706
【燕王来了】：让弹幕飞一会。_直播间,http://blanki.cf/api/douyu.php?id=4523233
一个没有脾气的主播_直播间,http://blanki.cf/api/douyu.php?id=7305938
【喜剧】经典 港式 喜剧专场_直播间,http://blanki.cf/api/douyu.php?id=9650887
【南派泛娱】影视放映厅_直播间,http://blanki.cf/api/douyu.php?id=519401
反手一个好家伙_直播间,http://blanki.cf/api/douyu.php?id=7270927
【悬疑】午夜惊悚乐园，点上关注带你探险！_直播间,http://blanki.cf/api/douyu.php?id=9075333
范闲、王启年、陈萍萍~_直播间,http://blanki.cf/api/douyu.php?id=5908256
范德彪东北第一狠人_直播间,http://blanki.cf/api/douyu.php?id=3789245
音乐相随，清凉一夏～_直播间,http://blanki.cf/api/douyu.php?id=3870925
最早港剧点播_直播间,http://blanki.cf/api/douyu.php?id=59612
能不能让我陪着你走，既然你说留不住你_直播间,http://blanki.cf/api/douyu.php?id=9461178
狄仁杰：想听听我的故事吗_直播间,http://blanki.cf/api/douyu.php?id=674441
女唐僧话多唠嗑直播间：为了梦想，不能闭嘴_直播间,http://blanki.cf/api/douyu.php?id=8861179
跨六来老板 今晚30困难团_直播间,http://blanki.cf/api/douyu.php?id=315236
西天取经3部曲86版+续集+后传 循环播_直播间,http://blanki.cf/api/douyu.php?id=5472438
你的坚持，终将美好！_直播间,http://blanki.cf/api/douyu.php?id=251125
【经典巨制】欧美大片_直播间,http://blanki.cf/api/douyu.php?id=2793084
你就是盛开着的 漫山遍野的温柔_直播间,http://blanki.cf/api/douyu.php?id=7116591
清晨醒脑！T-ARA根本停不下来！_直播间,http://blanki.cf/api/douyu.php?id=17732
懒猫 美食家 点播_直播间,http://blanki.cf/api/douyu.php?id=260322
【瑶瑶】童年阴影 鬼片 恐怖 惊悚_直播间,http://blanki.cf/api/douyu.php?id=2935323
《探奇录-案件篇》_直播间,http://blanki.cf/api/douyu.php?id=9746763
【恐怖电影】鬼片 僵尸 灾难 丧尸片_直播间,http://blanki.cf/api/douyu.php?id=310926
【斗鱼最强更新】Kpop女团点播直播间_直播间,http://blanki.cf/api/douyu.php?id=329667
【s1134】经典 科幻 动作 灾难_直播间,http://blanki.cf/api/douyu.php?id=248753
【重案】万籁俱寂 鸦雀无声_直播间,http://blanki.cf/api/douyu.php?id=9290734
【一战 二战 历史 军事】_直播间,http://blanki.cf/api/douyu.php?id=4870914
【RM-轮播】轮播！模式-24H欢乐不断_直播间,http://blanki.cf/api/douyu.php?id=7298973
四阿哥九子夺嫡_直播间,http://blanki.cf/api/douyu.php?id=4944033
jay倫&#9829;&#65039;周杰伦MV音乐电影高清演唱会_直播间,http://blanki.cf/api/douyu.php?id=7537296
【果条】梁山好汉剧场_直播间,http://blanki.cf/api/douyu.php?id=6785471
开心情景剧-超清去片头片尾_直播间,http://blanki.cf/api/douyu.php?id=6648727
【李卫】县令几品，拿剑来_直播间,http://blanki.cf/api/douyu.php?id=9290755
【米娅陪看】60帧喜剧科幻电影真人互动_直播间,http://blanki.cf/api/douyu.php?id=6537888
&#10024;诺诺陪看&#10024;60帧 欧美  经典 电视剧_直播间,http://blanki.cf/api/douyu.php?id=252536
【深圳旁边赌片】喜剧、黑帮、动作、武侠、经典_直播间,http://blanki.cf/api/douyu.php?id=315457
西瓜葡萄！！冲冲冲_直播间,http://blanki.cf/api/douyu.php?id=8901218
中二日记搞笑日常更新_直播间,http://blanki.cf/api/douyu.php?id=9505575
【吐槽】吐槽一下，快乐一天_直播间,http://blanki.cf/api/douyu.php?id=9236042
音乐影视混合双打，开播8点至中午1点_直播间,http://blanki.cf/api/douyu.php?id=9230590
【贝爷影厅】欧美 日韩 国产 2号厅_直播间,http://blanki.cf/api/douyu.php?id=36337
【华语】流行、经典、歌曲_直播间,http://blanki.cf/api/douyu.php?id=3186217
看看电影聊聊天 2288676_直播间,http://blanki.cf/api/douyu.php?id=2288676
搜集世界上悉奇的案件和恐怖故事_直播间,http://blanki.cf/api/douyu.php?id=9401473
风不来，树不动；船不摇，水不浑！_直播间,http://blanki.cf/api/douyu.php?id=3758762
【话事人】粤语【周星驰】【林正英】_直播间,http://blanki.cf/api/douyu.php?id=5033502
&#10084;&#65039;奶瓶&#10084;&#65039;金庸武侠剧_直播间,http://blanki.cf/api/douyu.php?id=7644931
【超清1】经典港剧天地_直播间,http://blanki.cf/api/douyu.php?id=4290711
【搞笑】下饭神剧 童年回忆_直播间,http://blanki.cf/api/douyu.php?id=5422706
【凤凰堂】德善你们抢，宝拉是我的_直播间,http://blanki.cf/api/douyu.php?id=7292330
☆卡卡罗特☆_直播间,http://blanki.cf/api/douyu.php?id=7286439

新果冻,#genre#
粤语电影2,http://120.77.28.4:8648/douyu.php?id=6566671
粤语电影3,http://120.77.28.4:8648/douyu.php?id=1226741
粤语电影98,http://120.77.28.4:8648/douyu.php?id=5033502
粤语周星驰,http://120.77.28.4:8648/huya.php?id=11336587
粤语剧集轮播,http://120.77.28.4:8648/douyu.php?id=10338873
粤语轮播港剧,http://120.77.28.4:8648/douyu.php?id=9019945
粤语港剧轮播,http://120.77.28.4:8648/douyu.php?id=6478650
冰冰经典✔原,http://120.77.28.4:8648/douyu.php?id=74374
凌儿影院✔原,http://120.77.28.4:8648/douyu.php?id=1377142
小黛兮影✔原,http://120.77.28.4:8648/douyu.php?id=11553944
神乐影剧✔原,http://120.77.28.4:8648/douyu.php?id=122402
神乐剧场✔原,http://120.77.28.4:8648/douyu.php?id=85894
可乐影院✔原,http://120.77.28.4:8648/douyu.php?id=20415
小宇60帧✔原,http://120.77.28.4:8648/douyu.php?id=323876
電影劇場✔原,http://120.77.28.4:8648/douyu.php?id=7575350
花卷陪看✔原,http://120.77.28.4:8648/douyu.php?id=52787
女神电影✔原,http://120.77.28.4:8648/douyu.php?id=747764
变种人片✔原,http://120.77.28.4:8648/douyu.php?id=9651304
贝爷影厅✔原,http://120.77.28.4:8648/douyu.php?id=252802
贝爷影厅,http://120.77.28.4:8648/douyu.php?id=4332
贝爷影厅2,http://120.77.28.4:8648/douyu.php?id=36337
不一样的电影,http://120.77.28.4:8648/douyu.php?id=2632223
林正英,http://120.77.28.4:8648/douyu.php?id=7356023
吃米滴虫,http://120.77.28.4:8648/douyu.php?id=315457
吃奶滴虫,http://120.77.28.4:8648/douyu.php?id=263824
华语经典,http://120.77.28.4:8648/douyu.php?id=434971
邵氏影院,http://120.77.28.4:8648/douyu.php?id=4246519
港台电影,http://120.77.28.4:8648/douyu.php?id=3637778
漫威影片,http://120.77.28.4:8648/douyu.php?id=6140589
豆瓣高分,http://120.77.28.4:8648/douyu.php?id=8770422
宇哥电影,http://120.77.28.4:8648/douyu.php?id=413573
网神影厅,http://120.77.28.4:8648/douyu.php?id=508118
霍格影片,http://120.77.28.4:8648/douyu.php?id=8814650
喜剧电影,http://120.77.28.4:8648/douyu.php?id=9292492
下饭神剧,http://120.77.28.4:8648/douyu.php?id=276200
邦德影院,http://120.77.28.4:8648/douyu.php?id=9292499
刘德华,http://120.77.28.4:8648/douyu.php?id=2516864
小猪优版剧院,http://120.77.28.4:8648/douyu.php?id=10297898
欢乐剧场,http://120.77.28.4:8648/douyu.php?id=7489563
斗鱼电影10,http://120.77.28.4:8648/douyu.php?id=2935323
斗鱼电影11,http://120.77.28.4:8648/douyu.php?id=9651304
斗鱼电影129,http://120.77.28.4:8648/douyu.php?id=413573
斗鱼电影137,http://120.77.28.4:8648/douyu.php?id=1274132
斗鱼电影141,http://120.77.28.4:8648/douyu.php?id=7623292
斗鱼电影158,http://120.77.28.4:8648/douyu.php?id=8788687
斗鱼电影165,http://120.77.28.4:8648/douyu.php?id=8705754
斗鱼电影HD12,http://120.77.28.4:8648/douyu.php?id=2436390
斗鱼电影HD13,http://120.77.28.4:8648/douyu.php?id=218859
斗鱼电影HD23,http://120.77.28.4:8648/douyu.php?id=6079455
斗鱼电影HD25,http://120.77.28.4:8648/douyu.php?id=8945323
斗鱼电影HD35,http://120.77.28.4:8648/douyu.php?id=1165374
周星星影台,https://epg.pw/stream/697d8897aa092fac7beb31b9806dfd4bb3197e96d9b15e752766d89f5fb66672.ctv
港台电影,http://tc-tct.douyucdn2.cn/dyliveflv1a/3637778raLSXdOdu_2000.m3u8
大吉大利影院,https://pull.kktv8.com/livekktv/128600025.flv
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
